교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,발생지시도코드,발생지시도코드.1,사고유형대분류코드,사고유형중분류코드,법규위반코드
13407,2014-07-20 00,야간,일,1,1,제주,제주시,차대사람,횡단중,보행자 보호의무 위반
13408,2014-10-16 14,주간,목,2,7,충북,충주시,차대차,추돌,안전운전 의무 불이행
13409,2014-10-03 19,야간,금,1,1,충남,서산시,차대사람,횡단중,과속
13410,2014-12-27 02,야간,토,1,1,경남,창원시(통합),차량단독,공작물충돌,안전운전 의무 불이행
13411,2014-08-12 08,주간,화,1,2,전남,목포시,차량단독,공작물충돌,안전운전 의무 불이행
13412,2014-07-12 21,야간,토,1,1,충남,천안시,차대사람,횡단중,안전운전 의무 불이행
13413,2014-12-11 00,야간,목,1,3,경기,포천시,차량단독,기타,안전운전 의무 불이행
13414,2014-10-18 17,주간,토,1,1,제주,서귀포시,차대사람,횡단중,안전운전 의무 불이행
13415,2014-07-30 05,야간,수,1,1,경기,광주시,차량단독,기타,안전운전 의무 불이행
13416,2014-10-14 04,야간,화,1,1,경기,이천시,차량단독,공작물충돌,안전운전 의무 불이행
13417,2014-10-22 01,야간,수,1,1,경기,안성시,차대사람,차도통행중,안전운전 의무 불이행
13418,2014-10-25 22,야간,토,1,1,인천,연수구,차대사람,횡단중,안전운전 의무 불이행
13419,2014-05-15 00,야간,목,1,1,경기,남양주시,차대사람,기타,안전운전 의무 불이행
13420,2014-10-04 11,주간,토,1,1,대구,중구,차대사람,기타,안전운전 의무 불이행
13421,2014-05-19 00,야간,월,1,1,인천,남동구,차대차,측면충돌,중앙선 침범
13422,2014-09-22 12,주간,월,1,1,충남,천안시,차대차,추돌,안전운전 의무 불이행
13423,2014-09-17 18,야간,수,1,1,부산,사상구,차대차,기타,안전운전 의무 불이행
13424,2014-07-22 05,야간,화,1,2,서울,마포구,차대사람,횡단중,안전운전 의무 불이행
13425,2014-10-05 14,주간,일,1,1,충남,서산시,차대차,기타,중앙선 침범
13426,2014-11-03 14,주간,월,1,2,경북,안동시,차대차,기타,안전운전 의무 불이행
13427,2014-08-28 13,주간,목,1,1,서울,강동구,차대사람,기타,안전운전 의무 불이행
13428,2014-10-16 06,주간,목,1,8,경기,양주시,차대차,추돌,안전운전 의무 불이행
13429,2014-12-06 18,야간,토,1,1,대구,달성군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
13430,2014-08-07 06,주간,목,1,1,전남,여수시,차대사람,횡단중,보행자 보호의무 위반
13431,2014-07-27 21,야간,일,1,1,경기,화성시,차대차,추돌,안전운전 의무 불이행
13432,2014-08-02 20,야간,토,1,1,경북,포항시,차대차,기타,안전운전 의무 불이행
13433,2014-09-23 06,주간,화,2,3,충남,천안시,차대차,정면충돌,신호위반
13434,2014-06-14 05,야간,토,1,5,경기,용인시,차량단독,공작물충돌,안전운전 의무 불이행
13435,2014-07-28 11,주간,월,1,1,경기,화성시,차량단독,기타,안전운전 의무 불이행
13436,2014-10-06 04,야간,월,1,1,서울,동작구,차대차,측면충돌,신호위반
13437,2014-06-29 17,주간,일,1,5,경북,경산시,차대차,기타,안전운전 의무 불이행
13438,2014-12-27 13,주간,토,1,3,충북,제천시,차대차,측면충돌,신호위반
13439,2014-10-23 13,주간,목,1,1,제주,서귀포시,차량단독,공작물충돌,안전운전 의무 불이행
13440,2014-08-25 21,야간,월,2,3,경남,거제시,차대차,정면충돌,중앙선 침범
13441,2014-09-20 18,야간,토,1,1,경남,김해시,차대사람,횡단중,안전운전 의무 불이행
13442,2014-12-10 18,야간,수,1,1,대구,달성군,차대사람,기타,안전운전 의무 불이행
13443,2014-06-27 07,주간,금,1,1,전북,군산시,차대차,측면충돌,안전운전 의무 불이행
13444,2014-07-29 02,야간,화,1,1,경기,화성시,차대차,기타,안전운전 의무 불이행
13445,2014-06-05 01,야간,목,1,2,강원,원주시,차대사람,차도통행중,안전운전 의무 불이행
13446,2014-09-23 01,야간,화,1,1,부산,사상구,차량단독,기타,안전운전 의무 불이행
13447,2014-12-25 09,주간,목,2,3,경남,진주시,차대차,기타,교차로 통행방법 위반
13448,2014-07-02 09,주간,수,1,1,인천,서구,차대사람,길가장자리구역통행중,안전운전 의무 불이행
13449,2014-12-29 17,주간,월,1,1,충북,제천시,차대사람,기타,안전운전 의무 불이행
13450,2014-05-08 03,야간,목,1,2,경북,구미시,차량단독,공작물충돌,안전운전 의무 불이행
13451,2014-11-08 18,야간,토,1,1,경북,안동시,차대사람,횡단중,안전운전 의무 불이행
13452,2014-05-08 08,주간,목,1,1,경북,구미시,차대사람,기타,과속
13453,2014-08-09 23,야간,토,1,1,전남,여수시,차대차,추돌,안전운전 의무 불이행
13454,2014-10-08 22,야간,수,2,12,부산,동래구,차대사람,횡단중,안전운전 의무 불이행
13455,2014-11-14 05,야간,금,1,4,인천,계양구,차대차,정면충돌,중앙선 침범
13456,2014-08-04 16,주간,월,2,5,경기,광명시,차대사람,횡단중,신호위반
13457,2014-12-31 18,야간,수,1,2,충북,제천시,차대차,기타,중앙선 침범
13458,2014-09-26 17,주간,금,1,1,부산,사하구,차대차,기타,안전운전 의무 불이행
13459,2014-10-26 06,주간,일,1,1,제주,서귀포시,차대차,기타,과속
13460,2014-06-05 06,주간,목,1,1,서울,송파구,차대차,측면충돌,안전운전 의무 불이행
13461,2014-07-06 22,야간,일,1,1,경기,김포시,차대차,기타,안전운전 의무 불이행
13462,2014-10-09 18,야간,목,1,1,부산,동래구,차대사람,기타,안전운전 의무 불이행
13463,2014-08-26 19,야간,화,1,1,경남,양산시,차대사람,기타,보행자 보호의무 위반
13464,2014-06-06 21,야간,금,1,1,강원,원주시,차대사람,횡단중,안전운전 의무 불이행
13465,2014-12-03 05,야간,수,1,1,울산,울주군,차대사람,횡단중,안전운전 의무 불이행
13466,2014-12-30 10,주간,화,1,1,경남,진주시,차대차,측면충돌,안전운전 의무 불이행
13467,2014-09-29 02,야간,월,1,1,충남,천안시,차대차,추돌,안전운전 의무 불이행
13468,2014-10-27 18,야간,월,1,1,제주,서귀포시,차대사람,횡단중,안전운전 의무 불이행
13469,2014-11-04 20,야간,화,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13470,2014-12-24 21,야간,수,1,1,서울,도봉구,차대사람,횡단중,안전운전 의무 불이행
13471,2014-06-06 00,야간,금,1,3,서울,송파구,차대차,추돌,안전운전 의무 불이행
13472,2014-05-16 23,야간,금,2,2,충북,청주시,차량단독,전도전복,안전운전 의무 불이행
13473,2014-10-25 17,주간,토,1,1,경기,양주시,차대차,정면충돌,안전운전 의무 불이행
13474,2014-10-29 09,주간,수,1,1,제주,서귀포시,차대사람,횡단중,보행자 보호의무 위반
13475,2014-06-19 19,야간,목,1,1,경북,경주시,차대차,기타,안전운전 의무 불이행
13476,2014-08-30 08,주간,토,1,1,충북,청주시,차대사람,기타,안전운전 의무 불이행
13477,2014-05-22 19,야간,목,1,1,인천,남동구,차대차,측면충돌,과속
13478,2014-11-01 03,야간,토,1,1,경기,안성시,차대사람,차도통행중,과속
13479,2014-10-13 14,주간,월,1,1,서울,동작구,차대사람,기타,안전운전 의무 불이행
13480,2014-09-03 15,주간,수,1,1,서울,강남구,차대사람,횡단중,안전운전 의무 불이행
13481,2014-11-20 02,야간,목,1,1,인천,계양구,차대사람,기타,안전운전 의무 불이행
13482,2014-10-01 15,주간,수,1,2,경기,용인시,차대차,추돌,안전운전 의무 불이행
13483,2014-08-10 15,주간,일,1,2,경북,포항시,차대차,기타,중앙선 침범
13484,2014-11-05 04,야간,수,1,1,인천,연수구,차대사람,횡단중,과속
13485,2014-07-27 17,주간,일,1,1,제주,제주시,차량단독,공작물충돌,안전운전 의무 불이행
13486,2014-08-05 00,야간,화,1,3,대구,서구,차대사람,기타,과속
13487,2014-05-23 09,주간,금,1,1,인천,남동구,차대사람,횡단중,신호위반
13488,2014-12-07 12,주간,일,1,4,울산,울주군,차대차,정면충돌,중앙선 침범
13489,2014-12-17 06,주간,수,1,1,서울,서대문구,차대사람,횡단중,안전운전 의무 불이행
13490,2014-07-07 02,야간,월,1,2,대구,동구,차량단독,공작물충돌,안전운전 의무 불이행
13491,2014-05-21 09,주간,수,1,1,경기,남양주시,차대차,측면충돌,안전운전 의무 불이행
13492,2014-08-22 23,야간,금,1,1,전남,목포시,차대사람,횡단중,보행자 보호의무 위반
13493,2014-09-26 01,야간,금,1,1,경북,포항시,차대차,기타,안전운전 의무 불이행
13494,2014-08-05 14,주간,화,1,2,충북,청주시,차대차,기타,중앙선 침범
13495,2014-10-04 22,야간,토,1,1,부산,사하구,차대사람,횡단중,안전운전 의무 불이행
13496,2014-11-12 20,야간,수,1,1,충남,아산시,차대사람,보도통행중,안전운전 의무 불이행
13497,2014-11-20 10,주간,목,1,1,서울,강북구,차대사람,횡단중,안전운전 의무 불이행
13498,2014-07-22 08,주간,화,1,1,인천,남구,차대사람,횡단중,보행자 보호의무 위반
13499,2014-07-17 21,야간,목,1,1,경기,고양시,차대차,추돌,안전운전 의무 불이행
13500,2014-12-24 11,주간,수,1,1,대구,달성군,차량단독,기타,안전운전 의무 불이행
13501,2014-11-05 06,주간,수,1,1,경기,안성시,차대사람,횡단중,안전운전 의무 불이행
13502,2014-11-14 05,야간,금,1,1,충남,아산시,차대사람,횡단중,안전운전 의무 불이행
13503,2014-10-29 19,야간,수,1,1,경기,이천시,차대사람,기타,안전운전 의무 불이행
13504,2014-08-21 02,야간,목,1,1,서울,노원구,차대사람,기타,안전운전 의무 불이행
13505,2014-11-02 19,야간,일,1,1,제주,서귀포시,차대사람,횡단중,안전운전 의무 불이행
13506,2014-06-10 18,야간,화,1,1,경기,오산시,차량단독,공작물충돌,안전운전 의무 불이행
13507,2014-07-01 08,주간,화,1,1,경기,파주시,차대차,측면충돌,과속
13508,2014-06-14 10,주간,토,1,1,광주,광산구,차대차,기타,안전운전 의무 불이행
13509,2014-08-14 03,야간,목,1,1,경북,포항시,차대사람,기타,안전운전 의무 불이행
13510,2014-08-17 00,야간,일,1,1,경기,안양시,차대차,측면충돌,중앙선 침범
13511,2014-08-08 23,야간,금,1,1,울산,중구,차대사람,횡단중,안전운전 의무 불이행
13512,2014-08-14 03,야간,목,1,1,경북,포항시,차대사람,횡단중,안전운전 의무 불이행
13513,2014-11-04 07,주간,화,3,20,제주,서귀포시,차대차,정면충돌,중앙선 침범
13514,2014-06-18 23,야간,수,1,1,전북,전주시,차대차,측면충돌,과속
13515,2014-08-12 18,야간,화,1,1,경기,광주시,차대사람,차도통행중,안전운전 의무 불이행
13516,2014-06-02 23,야간,월,1,1,전북,익산시,차대사람,횡단중,안전운전 의무 불이행
13517,2014-11-11 23,야간,화,1,2,인천,연수구,차대차,측면충돌,중앙선 침범
13518,2014-09-09 21,야간,화,1,1,서울,강동구,차대사람,횡단중,안전운전 의무 불이행
13519,2014-08-18 11,주간,월,1,1,강원,춘천시,차대차,정면충돌,중앙선 침범
13520,2014-10-15 12,주간,수,1,1,대구,북구,차량단독,전도전복,안전운전 의무 불이행
13521,2014-05-08 06,주간,목,1,1,대구,수성구,차대사람,횡단중,안전운전 의무 불이행
13522,2014-06-15 09,주간,일,1,1,광주,광산구,차대사람,횡단중,신호위반
13523,2014-11-12 15,주간,수,1,1,인천,연수구,차대사람,횡단중,안전운전 의무 불이행
13524,2014-08-29 21,야간,금,1,4,전남,순천시,차대차,측면충돌,안전운전 의무 불이행
13525,2014-09-08 21,야간,월,2,6,강원,강릉시,차대차,측면충돌,안전운전 의무 불이행
13526,2014-05-19 17,주간,월,1,1,광주,북구,차대차,추돌,안전운전 의무 불이행
13527,2014-06-13 03,야간,금,1,1,경기,수원시,차대사람,기타,안전운전 의무 불이행
13528,2014-08-27 18,야간,수,1,1,전남,신안군,차량단독,공작물충돌,안전운전 의무 불이행
13529,2014-09-04 11,주간,목,1,1,경남,양산시,차대사람,기타,안전운전 의무 불이행
13530,2014-11-16 11,주간,일,1,1,충남,아산시,차대사람,횡단중,안전운전 의무 불이행
13531,2014-11-13 17,주간,목,1,1,인천,연수구,차대사람,기타,안전운전 의무 불이행
13532,2014-07-13 00,야간,일,1,1,대구,동구,차량단독,전도전복,안전운전 의무 불이행
13533,2014-11-18 16,주간,화,1,1,광주,남구,차대사람,횡단중,안전운전 의무 불이행
13534,2014-07-21 16,주간,월,1,1,서울,동대문구,차대차,기타,신호위반
13535,2014-12-30 13,주간,화,1,1,대구,달성군,차대차,추돌,안전운전 의무 불이행
13536,2014-08-21 02,야간,목,1,1,전남,여수시,차대사람,횡단중,과속
13537,2014-09-06 16,주간,토,1,1,충북,청주시,차량단독,전도전복,안전운전 의무 불이행
13538,2014-11-20 14,주간,목,1,1,광주,남구,차량단독,공작물충돌,안전운전 의무 불이행
13539,2014-12-14 22,야간,일,1,1,울산,울주군,차대사람,차도통행중,안전운전 의무 불이행
13540,2014-08-21 08,주간,목,1,1,경기,안양시,차대사람,기타,안전운전 의무 불이행
13541,2014-11-15 04,야간,토,1,2,인천,연수구,차대차,측면충돌,신호위반
13542,2014-05-21 12,주간,수,1,4,광주,북구,차대차,정면충돌,중앙선 침범
13543,2014-08-21 20,야간,목,1,1,경기,안양시,차대사람,기타,안전운전 의무 불이행
13544,2014-10-11 00,야간,토,1,1,경기,용인시,차대사람,횡단중,안전운전 의무 불이행
13545,2014-06-27 20,야간,금,1,1,경북,경주시,차대사람,횡단중,신호위반
13546,2014-12-30 15,주간,화,1,1,경남,김해시,차대사람,기타,안전운전 의무 불이행
13547,2014-05-24 17,주간,토,1,1,경기,남양주시,차량단독,전도전복,안전운전 의무 불이행
13548,2014-11-19 18,야간,수,1,1,충남,아산시,차량단독,도로이탈,안전운전 의무 불이행
13549,2014-11-06 06,주간,목,1,1,경기,양주시,차대차,기타,안전운전 의무 불이행
13550,2014-08-24 17,주간,일,1,7,서울,노원구,차대사람,기타,기타
13551,2014-11-20 07,주간,목,1,2,충남,아산시,차대차,정면충돌,중앙선 침범
13552,2014-07-15 22,야간,화,1,4,경기,김포시,차대차,측면충돌,교차로 통행방법 위반
13553,2014-12-26 16,주간,금,1,1,서울,서대문구,차대사람,횡단중,안전운전 의무 불이행
13554,2014-08-23 06,주간,토,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13555,2014-04-21 17,주간,월,1,2,경기,평택시,차대차,추돌,안전운전 의무 불이행
13556,2014-09-05 19,야간,금,1,1,경남,양산시,차대사람,횡단중,과속
13557,2014-09-05 03,야간,금,1,1,경기,수원시,차량단독,공작물충돌,안전운전 의무 불이행
13558,2014-08-22 11,주간,금,1,3,전남,여수시,차량단독,공작물충돌,안전운전 의무 불이행
13559,2014-10-24 18,야간,금,1,1,충남,태안군,차대차,정면충돌,중앙선 침범
13560,2014-08-14 22,야간,목,1,1,대구,서구,차대차,추돌,안전운전 의무 불이행
13561,2014-08-03 01,야간,일,1,1,대구,북구,차대사람,횡단중,안전운전 의무 불이행
13562,2014-07-24 11,주간,목,1,1,경기,고양시,차대사람,횡단중,안전운전 의무 불이행
13563,2014-08-11 20,야간,월,1,3,충북,청주시,차대차,추돌,안전운전 의무 불이행
13564,2014-09-18 16,주간,목,1,1,서울,강동구,차대사람,기타,안전운전 의무 불이행
13565,2014-08-23 05,야간,토,1,1,전남,여수시,차대사람,횡단중,안전운전 의무 불이행
13566,2014-05-17 20,야간,토,1,1,경기,수원시,차대사람,기타,안전운전 의무 불이행
13567,2014-07-22 21,야간,화,1,1,대구,달서구,차대차,측면충돌,안전운전 의무 불이행
13568,2014-08-19 12,주간,화,1,1,서울,용산구,차대차,기타,안전운전 의무 불이행
13569,2014-10-25 22,야간,토,1,1,충남,태안군,차대사람,횡단중,과속
13570,2014-07-31 20,야간,목,1,1,서울,강서구,차대차,기타,안전운전 의무 불이행
13571,2014-07-15 18,야간,화,1,1,대구,동구,차대차,측면충돌,안전운전 의무 불이행
13572,2014-11-23 19,야간,일,1,1,충남,아산시,차대사람,기타,안전운전 의무 불이행
13573,2014-06-30 04,야간,월,1,3,경북,경주시,차량단독,전도전복,안전운전 의무 불이행
13574,2014-10-16 19,야간,목,1,1,서울,광진구,차대사람,횡단중,안전운전 의무 불이행
13575,2014-09-04 15,주간,목,1,1,전남,순천시,차대차,추돌,안전운전 의무 불이행
13576,2014-08-18 20,야간,월,1,1,제주,제주시,차대사람,횡단중,안전운전 의무 불이행
13577,2014-05-25 17,주간,일,2,4,경기,고양시,차대차,측면충돌,신호위반
13578,2014-07-03 02,야간,목,1,1,경기,성남시,차대사람,횡단중,안전운전 의무 불이행
13579,2014-08-24 19,야간,일,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13580,2014-05-24 07,주간,토,1,1,충북,청주시,차량단독,전도전복,안전운전 의무 불이행
13581,2014-06-15 03,야간,일,2,2,서울,송파구,차량단독,공작물충돌,안전운전 의무 불이행
13582,2014-07-07 19,야간,월,1,1,경기,파주시,차대사람,횡단중,보행자 보호의무 위반
13583,2014-04-22 22,야간,화,1,1,경기,평택시,차대사람,기타,안전운전 의무 불이행
13584,2014-08-21 18,야간,목,1,3,경기,화성시,차량단독,전도전복,안전운전 의무 불이행
13585,2014-07-15 04,야간,화,2,6,경북,경산시,차대차,기타,중앙선 침범
13586,2014-11-28 10,주간,금,1,1,광주,남구,차대차,기타,안전운전 의무 불이행
13587,2014-09-15 08,주간,월,1,1,경남,거제시,차대사람,기타,안전운전 의무 불이행
13588,2014-11-06 10,주간,목,1,1,경기,성남시,차대사람,기타,안전운전 의무 불이행
13589,2014-10-30 16,주간,목,1,1,충남,서산시,차대차,측면충돌,신호위반
13590,2014-11-29 22,야간,토,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13591,2014-07-02 14,주간,수,1,1,경기,의정부시,차대차,기타,안전거리 미확보
13592,2014-11-29 17,주간,토,1,1,광주,남구,차대사람,횡단중,안전운전 의무 불이행
13593,2014-06-19 00,야간,목,1,1,경기,수원시,차대차,기타,신호위반
13594,2014-07-26 04,야간,토,1,1,서울,동대문구,차대사람,횡단중,안전운전 의무 불이행
13595,2014-07-16 15,주간,수,1,1,경기,김포시,차량단독,기타,안전운전 의무 불이행
13596,2014-11-11 23,야간,화,1,1,경기,이천시,차량단독,공작물충돌,안전운전 의무 불이행
13597,2014-10-10 05,야간,금,1,1,경북,포항시,차량단독,기타,안전운전 의무 불이행
13598,2014-12-01 01,야간,월,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13599,2014-08-15 13,주간,금,1,1,충북,청주시,차량단독,공작물충돌,안전운전 의무 불이행
13600,2014-12-24 20,야간,수,1,2,울산,울주군,차대사람,횡단중,교차로 통행방법 위반
13601,2014-10-31 21,야간,금,1,2,충남,태안군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
13602,2014-10-17 16,주간,금,1,2,충남,천안시,차대차,기타,신호위반
13603,2014-08-16 20,야간,토,1,1,경기,화성시,차대사람,횡단중,안전운전 의무 불이행
13604,2014-09-04 12,주간,목,1,1,전남,신안군,차대사람,기타,안전운전 의무 불이행
13605,2014-09-03 20,야간,수,1,1,서울,양천구,차대사람,횡단중,안전운전 의무 불이행
13606,2014-09-04 19,야간,목,1,1,전남,신안군,차량단독,기타,안전운전 의무 불이행
13607,2014-11-14 18,야간,금,1,1,경기,양주시,차대사람,길가장자리구역통행중,안전운전 의무 불이행
13608,2014-07-12 01,야간,토,1,2,전북,군산시,차대차,기타,안전운전 의무 불이행
13609,2014-10-16 08,주간,목,1,1,경남,김해시,차대사람,횡단중,안전운전 의무 불이행
13610,2014-08-24 05,야간,일,1,3,경기,광주시,차대차,측면충돌,안전운전 의무 불이행
13611,2014-11-25 18,야간,화,1,1,경기,안성시,차대사람,차도통행중,안전운전 의무 불이행
13612,2014-04-24 14,주간,목,1,1,경기,평택시,차량단독,전도전복,안전운전 의무 불이행
13613,2014-11-01 01,야간,토,1,1,부산,금정구,차대차,기타,과속
13614,2014-07-02 01,야간,수,1,1,경기,안산시,차대사람,기타,안전운전 의무 불이행
13615,2014-09-14 13,주간,일,1,1,충북,청주시,차대차,추돌,안전운전 의무 불이행
13616,2014-10-19 03,야간,일,1,1,충남,천안시,차량단독,전도전복,안전운전 의무 불이행
13617,2014-07-06 10,주간,일,1,1,경기,성남시,차대차,측면충돌,안전운전 의무 불이행
13618,2014-07-05 10,주간,토,1,1,경북,경주시,차대차,측면충돌,신호위반
13619,2014-12-04 13,주간,목,1,3,충남,아산시,차량단독,전도전복,안전운전 의무 불이행
13620,2014-12-08 04,야간,월,1,1,서울,강북구,차대사람,횡단중,안전운전 의무 불이행
13621,2014-10-23 07,주간,목,1,1,서울,광진구,차대사람,기타,안전운전 의무 불이행
13622,2014-06-28 06,주간,토,1,1,전북,전주시,차대차,측면충돌,중앙선 침범
13623,2014-12-29 06,주간,월,1,1,울산,울주군,차대사람,기타,교차로 통행방법 위반
13624,2014-07-21 15,주간,월,1,1,대구,동구,차대차,측면충돌,신호위반
13625,2014-09-20 04,야간,토,1,1,경기,성남시,차대사람,차도통행중,안전운전 의무 불이행
13626,2014-12-16 18,야간,화,1,3,인천,계양구,차대차,추돌,안전운전 의무 불이행
13627,2014-07-17 07,주간,목,1,1,서울,영등포구,차대사람,기타,안전운전 의무 불이행
13628,2014-09-01 04,야간,월,1,1,전남,여수시,차량단독,공작물충돌,기타
13629,2014-08-07 13,주간,목,1,2,서울,중랑구,차대차,정면충돌,중앙선 침범
13630,2014-11-21 04,야간,금,1,1,제주,서귀포시,차대차,기타,안전운전 의무 불이행
13631,2014-06-04 21,야간,수,1,2,경기,시흥시,차대차,추돌,신호위반
13632,2014-12-07 02,야간,일,1,1,충남,아산시,차대차,기타,안전운전 의무 불이행
13633,2014-10-14 16,주간,화,1,1,경북,포항시,차량단독,도로이탈,안전운전 의무 불이행
13634,2014-08-24 10,주간,일,1,2,대구,서구,차대차,정면충돌,중앙선 침범
13635,2014-06-11 16,주간,수,1,1,경기,안산시,차대차,기타,과속
13636,2014-07-08 11,주간,화,1,1,경북,경주시,차대차,기타,중앙선 침범
13637,2014-11-04 21,야간,화,1,1,충남,서산시,차대사람,기타,안전운전 의무 불이행
13638,2014-11-30 17,주간,일,1,1,경기,안성시,차량단독,공작물충돌,안전운전 의무 불이행
13639,2014-06-22 20,야간,일,1,5,강원,원주시,차대차,정면충돌,중앙선 침범
13640,2014-08-03 10,주간,일,1,3,부산,해운대구,차대차,추돌,안전운전 의무 불이행
13641,2014-07-14 12,주간,월,1,1,전북,군산시,차대차,측면충돌,안전운전 의무 불이행
13642,2014-08-13 14,주간,수,3,7,제주,제주시,차대차,측면충돌,중앙선 침범
13643,2014-09-03 03,야간,수,2,3,전남,여수시,차대사람,기타,안전운전 의무 불이행
13644,2014-10-26 05,야간,일,1,1,경기,용인시,차대사람,횡단중,보행자 보호의무 위반
13645,2014-08-01 07,주간,금,1,1,경기,고양시,차대차,측면충돌,안전운전 의무 불이행
13646,2014-10-20 02,야간,월,1,1,경남,김해시,차량단독,공작물충돌,안전운전 의무 불이행
13647,2014-06-14 21,야간,토,1,1,전북,익산시,차대사람,횡단중,보행자 보호의무 위반
13648,2014-08-24 06,주간,일,1,1,울산,북구,차대사람,횡단중,안전운전 의무 불이행
13649,2014-08-27 23,야간,수,1,1,경기,용인시,차대차,기타,안전운전 의무 불이행
13650,2014-05-30 01,야간,금,1,1,충북,청주시,차대사람,횡단중,과속
13651,2014-07-01 09,주간,화,1,1,경북,경주시,차량단독,전도전복,안전운전 의무 불이행
13652,2014-11-20 21,야간,목,1,1,경기,양주시,차대사람,횡단중,안전운전 의무 불이행
13653,2014-07-22 19,야간,화,1,1,경북,경산시,차대사람,차도통행중,안전운전 의무 불이행
13654,2014-12-13 14,주간,토,1,3,충남,아산시,차량단독,공작물충돌,안전운전 의무 불이행
13655,2014-10-21 06,주간,화,1,1,경남,김해시,차대사람,횡단중,보행자 보호의무 위반
13656,2014-08-22 19,야간,금,1,1,경기,화성시,차대차,측면충돌,안전운전 의무 불이행
13657,2014-12-22 00,야간,월,1,1,인천,계양구,차량단독,공작물충돌,안전운전 의무 불이행
13658,2014-11-21 18,야간,금,1,1,충북,충주시,차대사람,기타,안전운전 의무 불이행
13659,2014-11-25 15,주간,화,1,1,제주,서귀포시,차량단독,기타,기타
13660,2014-12-22 16,주간,월,1,2,대전,대덕구,차대차,측면충돌,신호위반
13661,2014-10-22 06,주간,수,1,1,경남,김해시,차대사람,횡단중,안전운전 의무 불이행
13662,2014-11-10 10,주간,월,1,1,부산,동래구,차대사람,기타,안전운전 의무 불이행
13663,2014-08-15 19,야간,금,1,1,대구,북구,차대사람,횡단중,안전운전 의무 불이행
13664,2014-10-26 06,주간,일,1,2,충남,천안시,차대차,측면충돌,중앙선 침범
13665,2014-09-30 22,야간,화,1,4,서울,강동구,차대차,기타,안전운전 의무 불이행
13666,2014-06-16 04,야간,월,1,2,대구,달서구,차량단독,공작물충돌,안전운전 의무 불이행
13667,2014-09-21 11,주간,일,1,1,경기,수원시,차대차,기타,안전운전 의무 불이행
13668,2014-11-08 18,야간,토,1,2,대구,북구,차대차,추돌,안전운전 의무 불이행
13669,2014-09-29 21,야간,월,1,3,강원,강릉시,차대차,추돌,안전운전 의무 불이행
13670,2014-05-23 20,야간,금,1,2,경북,구미시,차대차,추돌,안전운전 의무 불이행
13671,2014-08-13 18,야간,수,1,1,서울,강서구,차대사람,기타,안전운전 의무 불이행
13672,2014-04-27 22,야간,일,1,2,경기,평택시,차대차,기타,신호위반
13673,2014-06-06 01,야간,금,1,1,인천,남동구,차대사람,기타,안전운전 의무 불이행
13674,2014-10-30 19,야간,목,1,2,경기,용인시,차대사람,횡단중,보행자 보호의무 위반
13675,2014-08-14 13,주간,목,1,1,서울,강서구,차대차,기타,안전운전 의무 불이행
13676,2014-07-28 09,주간,월,1,1,경북,경산시,차량단독,도로이탈,안전운전 의무 불이행
13677,2014-11-23 23,야간,일,1,1,경기,이천시,차대차,추돌,안전운전 의무 불이행
13678,2014-07-05 05,야간,토,1,4,전북,전주시,차대차,정면충돌,신호위반
13679,2014-08-06 08,주간,수,1,1,부산,해운대구,차대사람,기타,안전운전 의무 불이행
13680,2014-08-30 11,주간,토,1,1,제주,제주시,차량단독,도로이탈,안전운전 의무 불이행
13681,2014-12-08 13,주간,월,1,1,경기,안성시,차대사람,횡단중,안전운전 의무 불이행
13682,2014-08-31 03,야간,일,1,3,제주,제주시,차대차,추돌,안전운전 의무 불이행
13683,2014-09-07 04,야간,일,1,1,경기,안양시,차대사람,횡단중,안전운전 의무 불이행
13684,2014-11-28 20,야간,금,1,4,충북,충주시,차대차,기타,안전거리 미확보
13685,2014-09-01 18,야간,월,1,1,대구,서구,차대사람,횡단중,안전운전 의무 불이행
13686,2014-08-19 19,야간,화,1,1,제주,제주시,차대사람,기타,안전운전 의무 불이행
13687,2014-07-20 19,야간,일,1,1,부산,남구,차량단독,기타,안전운전 의무 불이행
13688,2014-11-27 10,주간,목,1,2,경기,이천시,차대차,추돌,안전운전 의무 불이행
13689,2014-09-28 21,야간,일,1,1,서울,관악구,차량단독,공작물충돌,안전운전 의무 불이행
13690,2014-09-20 21,야간,토,1,1,전남,순천시,차대사람,차도통행중,안전운전 의무 불이행
13691,2014-06-30 12,주간,월,1,1,광주,광산구,차대사람,횡단중,안전운전 의무 불이행
13692,2014-07-05 21,야간,토,1,3,전북,전주시,차대사람,횡단중,보행자 보호의무 위반
13693,2014-10-30 22,야간,목,1,1,충남,천안시,차대사람,차도통행중,안전운전 의무 불이행
13694,2014-09-30 02,야간,화,1,1,경남,거제시,차대사람,보도통행중,보행자 보호의무 위반
13695,2014-12-21 07,주간,일,1,1,충남,아산시,차량단독,전도전복,안전운전 의무 불이행
