교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도코드,발생지시도코드,사고유형대분류코드,사고유형중분류코드,사고유형코드,법규위반코드,도로형태대분류코드,도로로형태코드
6269,2013-03-04 02,야간,월,1,1,0,0,0,충북,제천시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6270,2013-04-04 16,주간,목,1,1,0,0,0,경기,동두천시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
6271,2013-03-24 04,야간,일,1,1,0,0,0,경기,의정부시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,터널안
6272,2013-01-22 23,야간,화,1,2,0,1,0,서울,강남구,차대사람,기타,기타,신호위반,단일로,횡단보도상
6273,2013-09-27 05,야간,금,1,1,0,0,0,충북,영동군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6274,2013-04-23 04,야간,화,1,1,0,0,0,경북,영주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6275,2013-01-21 06,주간,월,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6276,2013-03-04 11,주간,월,1,3,1,1,0,충북,제천시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6277,2013-04-07 17,주간,일,1,1,0,0,0,전남,나주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6278,2013-09-27 13,주간,금,1,1,0,0,0,충북,영동군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
6279,2013-09-27 08,주간,금,1,1,0,0,0,경북,청도군,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내
6280,2013-02-19 09,주간,화,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
6281,2013-09-27 11,주간,금,1,1,0,0,0,경북,청도군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6282,2013-07-18 21,야간,목,1,1,0,0,0,충북,청원군,차대차,추돌,주정차중 추돌,안전거리 미확보,단일로,기타단일로
6283,2013-03-17 16,주간,일,1,1,0,0,0,경기,여주시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
6284,2013-05-23 10,주간,목,1,2,1,0,0,경남,함안군,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
6285,2013-02-24 17,주간,일,1,1,0,0,0,충남,당진시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6286,2013-10-03 15,주간,목,3,4,1,0,0,충북,영동군,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내
6287,2013-06-07 08,주간,금,1,2,0,1,0,전남,화순군,차대차,기타,기타,신호위반,교차로,교차로내
6288,2013-10-18 06,주간,금,1,1,0,0,0,강원,고성군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6289,2013-02-19 00,야간,화,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
6290,2013-07-22 12,주간,월,1,3,2,0,0,전남,담양군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6291,2013-07-19 06,주간,금,1,1,0,0,0,경남,고성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6292,2013-03-21 14,주간,목,1,1,0,0,0,경북,김천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
6293,2013-07-31 15,주간,수,1,1,0,0,0,전남,장흥군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6294,2013-07-17 17,주간,수,1,1,0,0,0,충남,부여군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
6295,2013-11-28 18,야간,목,1,2,1,0,0,경남,의령군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6296,2013-10-04 14,주간,금,1,1,0,0,0,충북,영동군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내
6297,2013-04-05 15,주간,금,1,1,0,0,0,충남,논산시,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로부근
6298,2013-07-20 10,주간,토,1,1,0,0,0,전남,영광군,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로내
6299,2013-07-17 15,주간,수,1,1,0,0,0,전남,고흥군,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근
6300,2013-11-01 14,주간,금,1,2,0,1,0,전남,완도군,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6301,2013-05-19 23,야간,일,1,1,0,0,0,충남,공주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근
6302,2013-01-24 18,야간,목,1,3,1,1,0,인천,서구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근
6303,2013-02-18 20,야간,월,1,1,0,0,0,제주,서귀포시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
6304,2013-09-10 19,야간,화,1,1,0,0,0,전남,장성군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6305,2013-01-21 01,야간,월,1,3,2,0,0,인천,남동구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6306,2013-08-07 10,주간,수,1,8,3,4,0,충북,청원군,차대차,추돌,주정차중 추돌,안전거리 미확보,단일로,기타단일로
6307,2013-01-15 06,주간,화,1,1,0,0,0,대전,서구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
6308,2013-12-09 19,야간,월,1,3,2,0,0,경남,의령군,차대차,기타,기타,중앙선 침범,단일로,기타단일로
6309,2013-12-18 06,주간,수,4,36,25,7,0,강원,강릉시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
6310,2013-11-08 17,주간,금,1,1,0,0,0,경남,함양군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
6311,2013-10-07 10,주간,월,1,4,3,0,0,충남,청양군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6312,2013-04-12 00,야간,금,1,1,0,0,0,경남,밀양시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6313,2013-05-14 15,주간,화,1,1,0,0,0,경북,문경시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
6314,2013-10-17 18,야간,목,1,1,0,0,0,전남,보성군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6315,2013-02-11 16,주간,월,1,1,0,0,0,충북,충주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6316,2013-03-05 13,주간,화,1,2,1,0,0,대전,대덕구,차대차,추돌,진행중 추돌,과속,단일로,기타단일로
6317,2013-05-30 17,주간,목,1,1,0,0,0,경남,함안군,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로
6318,2013-01-27 07,주간,일,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
6319,2013-08-29 22,야간,목,1,1,0,0,0,충남,금산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
6320,2013-12-22 22,야간,일,1,8,2,5,0,강원,평창군,차대차,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6321,2013-02-16 05,야간,토,1,1,0,0,0,인천,부평구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6322,2013-02-22 16,주간,금,1,1,0,0,0,경북,안동시,차량단독,기타,기타,기타,단일로,기타단일로
6323,2013-07-19 06,주간,금,1,3,2,0,0,전남,고흥군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6324,2013-10-19 18,야간,토,1,1,0,0,0,전남,보성군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6325,2013-07-17 19,야간,수,1,1,0,0,0,전남,강진군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내
6326,2013-12-17 13,주간,화,1,2,1,0,0,경북,예천군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6327,2013-05-01 02,야간,수,1,1,0,0,0,충남,홍성군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6328,2013-12-24 01,야간,화,1,1,0,0,0,강원,영월군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6329,2013-01-27 00,야간,일,1,1,0,0,0,경기,용인시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6330,2013-02-14 11,주간,목,1,2,1,0,0,강원,강릉시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
6331,2013-09-23 05,야간,월,1,1,0,0,0,경남,함안군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
6332,2013-12-26 12,주간,목,1,1,0,0,0,경남,의령군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6333,2013-07-12 10,주간,금,1,1,0,0,0,경남,창녕군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6334,2013-03-21 06,주간,목,1,1,0,0,0,부산,기장군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6335,2013-09-28 16,주간,토,2,6,4,0,0,경남,합천군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6336,2013-06-01 13,주간,토,1,1,0,0,0,경남,함안군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6337,2013-01-30 15,주간,수,1,1,0,0,0,경기,의정부시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
6338,2013-02-22 13,주간,금,1,1,0,0,0,경남,창원시(통합),차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6339,2013-10-24 05,야간,목,1,1,0,0,0,충북,영동군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6340,2013-02-02 06,주간,토,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6341,2013-04-26 19,야간,금,1,1,0,0,0,경북,상주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
6342,2013-05-16 13,주간,목,1,3,2,0,0,경북,영주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6343,2013-01-30 06,주간,수,1,17,13,3,0,제주,제주시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
6344,2013-02-21 01,야간,목,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6345,2013-05-24 22,야간,금,2,7,4,1,0,충남,공주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6346,2013-08-20 18,야간,화,1,1,0,0,0,경북,영덕군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6347,2013-02-03 01,야간,일,1,3,2,0,0,부산,사상구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6348,2013-05-17 17,주간,금,1,1,0,0,0,경북,문경시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6349,2013-12-28 16,주간,토,1,3,1,1,0,강원,정선군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
6350,2013-02-02 14,주간,토,1,1,0,0,0,대구,동구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6351,2013-08-29 19,야간,목,1,1,0,0,0,경기,연천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
6352,2013-04-30 10,주간,화,1,2,0,1,0,강원,삼척시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6353,2013-02-22 21,야간,금,1,1,0,0,0,대전,동구,차대사람,횡단중,횡단중,기타,단일로,기타단일로
6354,2013-12-23 17,주간,월,1,1,0,0,0,전남,함평군,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6355,2013-02-06 10,주간,수,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6356,2013-06-23 10,주간,일,1,5,4,0,0,경남,양산시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6357,2013-06-23 09,주간,일,1,1,0,0,0,울산,울주군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6358,2013-02-04 00,야간,월,1,2,1,0,0,부산,사상구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6359,2013-02-06 21,야간,수,1,2,1,0,0,충남,아산시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내
6360,2013-08-10 06,주간,토,1,1,0,0,0,전남,장흥군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6361,2013-08-17 01,야간,토,1,1,0,0,0,충북,충주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6362,2013-09-08 15,주간,일,1,1,0,0,0,인천,강화군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6363,2013-02-19 01,야간,화,1,1,0,0,0,충북,충주시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
6364,2013-07-18 09,주간,목,1,1,0,0,0,전북,고창군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6365,2013-11-03 17,주간,일,1,1,0,0,0,경남,합천군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
6366,2013-08-09 09,주간,금,1,1,0,0,0,전남,장흥군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6367,2013-04-17 13,주간,수,1,4,3,0,0,전남,나주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6368,2013-02-23 17,주간,토,1,1,0,0,0,경남,창원시(통합),차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6369,2013-10-03 00,야간,목,1,1,0,0,0,경남,남해군,차량단독,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6370,2013-05-28 17,주간,화,1,1,0,0,0,세종,세종,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,교차로,교차로부근
6371,2013-04-22 18,야간,월,1,1,0,0,0,충북,음성군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6372,2013-11-19 23,야간,화,1,1,0,0,0,강원,철원군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6373,2013-10-30 16,주간,수,1,7,2,4,0,강원,고성군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6374,2013-03-16 02,야간,토,2,2,0,0,0,서울,은평구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
6375,2013-08-12 06,주간,월,1,2,0,0,1,전남,장흥군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6376,2013-03-26 11,주간,화,1,1,0,0,0,경북,김천시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
6377,2013-06-29 18,야간,토,1,1,0,0,0,충북,증평군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,기타/불명,기타/불명
6378,2013-04-06 03,야간,토,1,1,0,0,0,경기,용인시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
6379,2013-06-10 18,야간,월,1,1,0,0,0,충남,예산군,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로부근
6380,2013-10-24 01,야간,목,1,1,0,0,0,경북,청도군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6381,2013-09-28 15,주간,토,1,1,0,0,0,강원,평창군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6382,2013-11-11 18,야간,월,1,1,0,0,0,경남,합천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
6383,2013-12-04 08,주간,수,1,2,1,0,0,경남,함양군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6384,2013-10-24 11,주간,목,1,1,0,0,0,충남,청양군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6385,2013-03-21 20,야간,목,1,1,0,0,0,부산,강서구,차대사람,기타,기타,과속,단일로,기타단일로
6386,2013-07-30 11,주간,화,1,1,0,0,0,경북,울진군,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근
6387,2013-05-15 03,야간,수,1,1,0,0,0,충북,진천군,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근
6388,2013-04-07 17,주간,일,1,1,0,0,0,경기,안성시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6389,2013-10-27 03,야간,일,1,1,0,0,0,경북,청도군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6390,2013-06-13 00,야간,목,1,2,0,1,0,충남,예산군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6391,2013-02-26 17,주간,화,1,1,0,0,0,경남,창원시(통합),차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6392,2013-04-20 08,주간,토,1,1,0,0,0,전남,나주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근
6393,2013-08-02 12,주간,금,1,1,0,0,0,경북,울진군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로
6394,2013-03-18 23,야간,월,1,2,0,1,0,인천,옹진군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
6395,2013-05-06 22,야간,월,1,1,0,0,0,전남,영암군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6396,2013-03-13 23,야간,수,1,1,0,0,0,대구,달성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6397,2013-02-07 18,야간,목,1,1,0,0,0,경기,안양시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상
6398,2013-03-14 09,주간,목,1,1,0,0,0,인천,옹진군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6399,2013-02-24 23,야간,일,1,2,1,0,0,울산,울주군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6400,2013-02-14 18,야간,목,1,1,0,0,0,경남,거제시,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6401,2013-11-13 06,주간,수,1,1,0,0,0,전남,보성군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
6402,2013-10-07 01,야간,월,1,1,0,0,0,경북,의성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6403,2013-11-14 15,주간,목,1,2,1,0,0,전남,보성군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
6404,2013-08-06 10,주간,화,1,2,1,0,0,충북,옥천군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
6405,2013-11-03 14,주간,일,1,1,0,0,0,충남,청양군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6406,2013-02-25 20,야간,월,1,1,0,0,0,경기,포천시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,교량위
6407,2013-05-07 08,주간,화,1,1,0,0,0,전남,영암군,차대차,기타,기타,중앙선 침범,교차로,교차로부근
6408,2013-09-16 16,주간,월,1,1,0,0,0,충남,금산군,차대차,기타,기타,중앙선 침범,교차로,교차로부근
6409,2013-06-08 01,야간,토,1,1,0,0,0,전북,부안군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6410,2013-06-30 08,주간,일,1,1,0,0,0,부산,강서구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6411,2013-05-11 20,야간,토,1,1,0,0,0,전북,완주군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6412,2013-08-19 12,주간,월,1,1,0,0,0,충남,부여군,차대차,기타,기타,중앙선 침범,기타/불명,기타/불명
6413,2013-04-06 16,주간,토,1,1,0,0,0,부산,서구,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도상
6414,2013-05-21 23,야간,화,1,2,0,1,0,인천,서구,차대차,추돌,진행중 추돌,안전거리 미확보,단일로,기타단일로
6415,2013-02-09 20,야간,토,1,1,0,0,0,부산,동래구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6416,2013-10-13 18,야간,일,1,1,0,0,0,경북,의성군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6417,2013-05-12 04,야간,일,1,1,0,0,0,전북,완주군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
6418,2013-02-06 01,야간,수,1,1,0,0,0,부산,사상구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6419,2013-02-02 20,야간,토,1,1,0,0,0,전남,신안군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6420,2013-03-10 16,주간,일,1,1,0,0,0,충북,제천시,차대차,기타,기타,신호위반,교차로,교차로내
6421,2013-05-05 17,주간,일,1,7,5,1,0,경북,상주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6422,2013-02-12 11,주간,화,1,26,7,17,1,충북,청주시,차대차,추돌,진행중 추돌,중앙선 침범,단일로,기타단일로
6423,2013-05-07 13,주간,화,1,1,0,0,0,강원,삼척시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6424,2013-05-25 18,야간,토,1,1,0,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6425,2013-05-18 14,주간,토,1,2,1,0,0,충북,진천군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6426,2013-06-30 21,야간,일,1,1,0,0,0,전남,화순군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6427,2013-08-19 17,주간,월,1,3,1,1,0,충남,예산군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6428,2013-01-26 18,야간,토,1,1,0,0,0,경기,남양주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근
6429,2013-01-31 07,주간,목,1,1,0,0,0,부산,남구,차대차,기타,기타,기타,단일로,기타단일로
6430,2013-05-08 22,야간,수,1,1,0,0,0,전남,영암군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6431,2013-04-17 11,주간,수,1,1,0,0,0,경기,동두천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6432,2013-04-23 08,주간,화,1,1,0,0,0,경남,밀양시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
6433,2013-06-13 16,주간,목,1,1,0,0,0,경남,함안군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6434,2013-11-28 20,야간,목,2,4,1,1,0,전남,보성군,차대사람,기타,기타,과속,단일로,교량위
6435,2013-09-02 11,주간,월,2,2,0,0,0,전남,영광군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
6436,2013-06-01 02,야간,토,1,2,0,1,0,경북,구미시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6437,2013-02-14 19,야간,목,1,1,0,0,0,대구,남구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
6438,2013-01-24 07,주간,목,1,1,0,0,0,전북,전주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6439,2013-06-14 21,야간,금,1,3,1,1,0,경남,함안군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
6440,2013-03-20 13,주간,수,1,1,0,0,0,인천,동구,차대차,측면충돌,측면충돌,기타,교차로,교차로내
6441,2013-02-28 05,야간,목,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
6442,2013-11-05 07,주간,화,1,1,0,0,0,경북,청도군,차대사람,기타,기타,보행자 보호의무 위반,단일로,지하차도(도로)내
6443,2013-10-15 11,주간,화,1,1,0,0,0,경북,의성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
6444,2013-04-11 00,야간,목,2,2,0,0,0,경기,남양주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
6445,2013-03-29 11,주간,금,1,1,0,0,0,경북,영천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6446,2013-02-27 11,주간,수,1,1,0,0,0,경기,포천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
6447,2013-09-30 06,주간,월,1,1,0,0,0,경남,남해군,차량단독,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
6448,2013-11-30 18,야간,토,1,1,0,0,0,전남,보성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6449,2013-12-03 07,주간,화,1,1,0,0,0,전남,보성군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로
6450,2013-05-11 23,야간,토,1,1,0,0,0,전남,영암군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,교차로,교차로부근
6451,2013-09-24 17,주간,화,1,1,0,0,0,충남,금산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6452,2013-03-20 08,주간,수,1,1,0,0,0,서울,종로구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6453,2013-06-16 16,주간,일,1,4,0,3,0,경남,함안군,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
6454,2013-02-05 21,야간,화,1,1,0,0,0,울산,북구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근
6455,2013-09-15 13,주간,일,1,1,0,0,0,강원,태백시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
6456,2013-01-28 16,주간,월,1,1,0,0,0,대구,달서구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
6457,2013-05-05 15,주간,일,1,1,0,0,0,경북,상주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6458,2013-02-07 19,야간,목,1,1,0,0,0,경기,광주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
6459,2013-05-21 05,야간,화,1,1,0,0,0,경기,가평군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
6460,2013-12-06 10,주간,금,1,1,0,0,0,전남,완도군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6461,2013-12-07 16,주간,토,1,1,0,0,0,전남,보성군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
6462,2013-08-03 06,주간,토,1,1,0,0,0,전북,고창군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,교량위
6463,2013-08-07 16,주간,수,1,1,0,0,0,전남,고흥군,차대차,기타,기타,기타,교차로,교차로내
6464,2013-03-01 17,주간,금,1,2,0,1,0,경북,안동시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
